date,,retail,grocery,parks,transit,workplaces,residential,avg_negative
15-02-2020,,-1.2,-1,14.2,2,-0.6,0,2.68
16-02-2020,,4.5,4.5,2,8,0,0,3.8
17-02-2020,,0.333333333,1.166666667,4.666666667,2.583333333,0.416666667,0.083333333,1.833333333
18-02-2020,,1.4,0.066666667,17.4,3.266666667,0.933333333,0,4.613333333
19-02-2020,,-0.294117647,0.058823529,3.647058824,1.705882353,0.882352941,0,1.2
20-02-2020,,0.2,0.8,7.2,3.5,0.1,0.3,2.36
21-02-2020,,0.2,1.1,13.3,3.4,-0.4,0.1,3.52
22-02-2020,,-2.090909091,3.090909091,18.81818182,4.727272727,-0.727272727,0.181818182,4.763636364
23-02-2020,,-6.777777778,17,17.55555556,2.222222222,0.222222222,0.555555556,6.044444444
24-02-2020,,0.571428571,21.61904762,24.04761905,-7,-12.28571429,3.047619048,5.39047619
25-02-2020,,-1.904761905,5.761904762,27.33333333,-9.761904762,-14.0952381,4.142857143,1.466666667
26-02-2020,,-10.14285714,-2.904761905,-7.380952381,-16.42857143,-10.33333333,4.714285714,-9.438095238
27-02-2020,,-7,-1.476190476,-1.619047619,-15.42857143,-9.047619048,4.666666667,-6.914285714
28-02-2020,,-4.761904762,-0.619047619,9.095238095,-14.52380952,-8.80952381,4.142857143,-3.923809524
29-02-2020,,-6.857142857,0.19047619,6.380952381,-10.42857143,-5.428571429,2.80952381,-3.228571429
01-03-2020,,-13.95238095,-2.428571429,-18.52380952,-19.19047619,-4.285714286,3.857142857,-11.67619048
02-03-2020,,-10.42857143,-4.333333333,-20.85714286,-17.28571429,-5,3.714285714,-11.58095238
03-03-2020,,-5.714285714,-0.666666667,-6.476190476,-14.85714286,-4.619047619,3.142857143,-6.466666667
04-03-2020,,-5.142857143,1.619047619,2.047619048,-13.71428571,-4.857142857,2.952380952,-4.00952381
05-03-2020,,-10.52380952,1.285714286,-8.428571429,-22.42857143,-15.33333333,6.380952381,-11.08571429
06-03-2020,,-12.9047619,1,-7.19047619,-25,-16.04761905,7.19047619,-12.02857143
07-03-2020,,-18.19047619,2.761904762,-3.761904762,-23.85714286,-14.52380952,6.571428571,-11.51428571
08-03-2020,,-27.80952381,4.095238095,-0.952380952,-24.71428571,-9.333333333,5.904761905,-11.74285714
09-03-2020,,-27.57142857,-0.619047619,-21.14285714,-37.38095238,-22.47619048,10.23809524,-21.83809524
10-03-2020,,-41.8,-1.2,-31.35,-45.95,-29.15,14.45,-29.89
11-03-2020,,-51.27777778,-15.72222222,-34.94444444,-51.83333333,-34.83333333,17,-37.72222222
13-03-2020,,-77.5,-29.5,-63,-75.5,-59,31,-60.9
14-03-2020,,-88,-54,-76,-74,-58,,-70
15-03-2020,,-93,-68,-84,-82,-59,,-77.2
16-03-2020,,-77,-37,-68,-79,-63.5,30,-64.9
17-03-2020,,-77.875,-40,-66.375,-74.875,-59.875,29.75,-63.8
18-03-2020,,-79,-42.58333333,-70.08333333,-74.08333333,-59.66666667,30,-65.08333333
19-03-2020,,-79.46666667,-43.53333333,-72.4,-76,-61.6,30.86666667,-66.6
20-03-2020,,-80.4375,-40.3125,-76.5625,-77.1875,-62.3125,32.25,-67.3625
21-03-2020,,-88.5,-53,-86.5,-80.5,-63.5,30,-74.4
22-03-2020,,-93.5,-84.5,-87,-85,-64.5,,-82.9
23-03-2020,,-80.3125,-45.25,-80.1875,-79.3125,-66.9375,31.5625,-70.4
24-03-2020,,-81.77777778,-49.27777778,-79.88888889,-79.33333333,-68.44444444,32.27777778,-71.74444444
25-03-2020,,-83.3,-52.5,-81.75,-80.75,-69.35,32.9,-73.53
26-03-2020,,-84.2,-53.5,-83,-82.05,-71.2,34.6,-74.79
27-03-2020,,-82.38095238,-46.28571429,-81.23809524,-81.14285714,-69.61904762,34.9047619,-72.13333333
28-03-2020,,-87.16666667,-53.5,-85,-80.83333333,-65.33333333,29.6,-74.36666667
29-03-2020,,-93,-85,-87.5,-83,-63.5,,-82.4
30-03-2020,,-81.66666667,-47.33333333,-79.13333333,-79.4,-68.53333333,32.26666667,-71.21333333
31-03-2020,,-90.33333333,-42.93333333,-77.8,-77.93333333,-69.53333333,33.26666667,-71.70666667
01-04-2020,,-90.11764706,-41.41176471,-77.52941176,-76.70588235,-68.47058824,32.76470588,-70.84705882
02-04-2020,,-89.88888889,-40.94444444,-77.05555556,-77,-68.44444444,33.22222222,-70.66666667
03-04-2020,,-84.55,-37.9,-77.4,-78.4,-67.6,33.7,-69.17
04-04-2020,,-90,-48,-86,-82.33333333,-64.33333333,30,-74.13333333
05-04-2020,,-95,-84,-86.5,-83.5,-61.5,,-82.1
06-04-2020,,-82.53333333,-39.06666667,-76.2,-76.73333333,-65.4,30.86666667,-67.98666667
07-04-2020,,-81.73333333,-37.73333333,-74.8,-76.26666667,-66.33333333,31.66666667,-67.37333333
08-04-2020,,-82.06666667,-36.8,-76.33333333,-75.93333333,-65.6,31.46666667,-67.34666667
09-04-2020,,-81.13333333,-31.86666667,-76.4,-75.86666667,-66.06666667,32.13333333,-66.26666667
10-04-2020,,-81.06666667,-26.4,-76.4,-76,-67,33.8,-65.37333333
11-04-2020,,-88.5,-44.5,-85.5,-79,-63,30,-72.1
12-04-2020,,-95,-91,-88,-84,-63.5,,-84.3
13-04-2020,,-95.47619048,-93.42857143,-84.76190476,-89.71428571,-88.76190476,38.8,-90.42857143
14-04-2020,,-81.57142857,-40.42857143,-76,-75.92857143,-64,30.64285714,-67.58571429
15-04-2020,,-80.53333333,-37.4,-74.86666667,-74.2,-62.6,30.46666667,-65.92
16-04-2020,,-79.46666667,-37.26666667,-74.26666667,-74.26666667,-62.06666667,31,-65.46666667
17-04-2020,,-79.46666667,-34.2,-74.26666667,-74.66666667,-61.8,32.26666667,-64.88
18-04-2020,,-88,-52,-85,-77,-59,29,-72.2
19-04-2020,,-93.5,-82,-85.5,-81.5,-58,,-80.1
20-04-2020,,-79.42857143,-48.85714286,-80.85714286,-78.57142857,-62.14285714,30.57142857,-69.97142857
21-04-2020,,-79.63636364,-44.90909091,-76.36363636,-76,-60.81818182,30.63636364,-67.54545455
