Date, Confirmed,R,Deaths,I,Q,C,E,S,di,dq,dc,ri,rq,rc,Tests,tot_change_mobility,days
18-03-2020,156,14,3,93,63,9470,9056,1379985689,0.032258065,0.047619048,0.00031679,0.150537634,0.222222222,0.001478353,13125,1.028,1
19-03-2020,194,15,4,116,78,10155,9781,1379984240,0.034482759,0.051282051,0.000393895,0.129310345,0.192307692,0.001477105,14175,1.018,2
20-03-2020,244,20,5,146,98,11047,10629,1379982445,0.034246575,0.051020408,0.000452612,0.136986301,0.204081633,0.001810446,15404,1.016,3
21-03-2020,330,23,4,197,133,12263,11669,1379980100,0.020304569,0.030075188,0.000326184,0.116751269,0.172932331,0.001875561,16911,1.022,4
22-03-2020,396,27,7,237,159,13110,12508,1379978344,0.029535865,0.044025157,0.000533944,0.113924051,0.169811321,0.002059497,18127,1.016,5
23-03-2020,499,27,10,298,201,15319,14288,1379974252,0.033557047,0.049751244,0.000652784,0.090604027,0.134328358,0.001762517,20707,1.036,6
24-03-2020,536,40,10,321,215,15515,15659,1379972635,0.031152648,0.046511628,0.000644538,0.124610592,0.186046512,0.00257815,22694,0.958,7
25-03-2020,657,43,12,393,264,17862,17349,1379968474,0.030534351,0.045454545,0.000671817,0.109414758,0.162878788,0.002407345,25144,0.992,8
26-03-2020,727,45,20,435,292,18954,18227,1379966432,0.045977011,0.068493151,0.001055186,0.103448276,0.154109589,0.002374169,26416,1,9
27-03-2020,887,73,20,530,357,20232,19105,1379964088,0.037735849,0.056022409,0.000988533,0.137735849,0.204481793,0.003608146,27688,1.012,10
28-03-2020,987,84,24,590,397,21735,20661,1379960918,0.040677966,0.060453401,0.00110421,0.142372881,0.211586902,0.003864734,29943,1.004,11
29-03-2020,1024,95,27,612,412,25515,24139,1379953612,0.044117647,0.065533981,0.001058201,0.155228758,0.230582524,0.0037233,34984,1.014,12
30-03-2020,1251,102,32,748,503,28109,26525,1379948398,0.042780749,0.06361829,0.001138425,0.136363636,0.2027833,0.003628731,38442,1.012,13
31-03-2020,1397,123,35,835,562,31539,29524,1379941802,0.041916168,0.06227758,0.001109737,0.147305389,0.21886121,0.003899933,42788,1.02,14
01-04-2020,1998,148,58,1195,803,35365,33086,1379933788,0.048535565,0.072229141,0.00164004,0.123849372,0.184308842,0.004184929,47951,1.008,15
02-04-2020,2543,191,72,1521,1022,41819,38537,1379921295,0.047337278,0.070450098,0.001721705,0.125575279,0.186888454,0.004567302,55851,1.018,16
03-04-2020,2567,192,72,1535,1032,51353,47779,1379902494,0.046905537,0.069767442,0.00140206,0.125081433,0.186046512,0.003738827,69245,1.02,17
04-04-2020,3082,229,86,1843,1239,59180,55166,1379886728,0.046663049,0.069410815,0.001453194,0.124253934,0.184826473,0.003869551,79950,1.016,18
05-04-2020,3588,229,99,2146,1442,67458,61778,1379871332,0.046132339,0.068654646,0.00146758,0.106710158,0.158807212,0.003394705,89534,1.032,19
06-04-2020,4778,375,136,2857,1921,76303,69737,1379853192,0.04760238,0.07079646,0.001782368,0.131256563,0.195210828,0.004914617,101068,1.024,20
07-04-2020,5311,421,150,3176,2135,85493,78670,1379834490,0.047229219,0.070257611,0.00175453,0.132556675,0.197189696,0.00492438,114015,1.018,21
08-04-2020,5916,506,178,3538,2378,97947,88264,1379811752,0.05031091,0.074852817,0.001817309,0.143018655,0.212783852,0.005166059,127919,1.04,22
09-04-2020,6725,620,226,4022,2703,111408,99988,1379785644,0.05619095,0.083610803,0.00202858,0.154152163,0.229374769,0.00556513,144910,1.044,23
10-04-2020,7598,774,246,4544,3054,116776,111318,1379767919,0.054137324,0.080550098,0.002106597,0.170334507,0.253438114,0.006628074,161330,0.982,24
11-04-2020,8446,969,288,5051,3395,102598,123768,1379768604,0.057018412,0.084830633,0.002807072,0.191843199,0.285419735,0.009444629,179374,0.776,25
12-04-2020,9205,1080,331,5505,3700,140231,135066,1379718803,0.060127157,0.089459459,0.002360391,0.196185286,0.291891892,0.007701578,195748,0.972,26
13-04-2020,10453,1181,358,6251,4202,160565,150112,1379682074,0.057270837,0.085197525,0.002229627,0.188929771,0.28105664,0.007355277,217554,1,27
14-04-2020,11487,1359,393,6869,4618,178297,168976,1379644266,0.057213568,0.085101776,0.002204187,0.197845392,0.294283239,0.007622114,244893,0.988,28
15-04-2020,12322,1432,405,7369,4953,188073,189473,1379613085,0.054959967,0.081768625,0.002153419,0.194327589,0.289117706,0.007614065,274599,0.932,29
16-04-2020,13430,1768,448,8031,5399,212236,209040,1379567911,0.055783838,0.082978329,0.002110858,0.220146931,0.32746805,0.008330349,302956,0.954,30
17-04-2020,14352,2041,486,8583,5769,237237,231235,1379519520,0.056623558,0.08424337,0.002048584,0.237795643,0.353787485,0.008603211,335123,0.966,31
18-04-2020,15722,2463,521,9402,6320,256138,256765,1379473297,0.055413742,0.082436709,0.00203406,0.261965539,0.38971519,0.00961591,372123,0.94,32
19-04-2020,17615,2854,559,10534,7081,274079,277094,1379432743,0.053066262,0.078943652,0.002039558,0.270932219,0.403050417,0.010413056,401586,0.93,33
20-04-2020,18539,3273,592,11086,7453,289025,300473,1379393075,0.053400686,0.079431102,0.002048266,0.295237236,0.439152019,0.01132428,435468,0.906,34
21-04-2020,20080,3975,645,12008,8072,293823,319208,1379367299,0.053714191,0.079905847,0.002195199,0.331029314,0.492443013,0.013528553,462621,0.866,35
22-04-2020,21370,4370,681,12779,8591,281708,334322,1379362615,0.053290555,0.079269002,0.002417397,0.34196729,0.508671866,0.015512517,484524,0.792,36
23-04-2020,23077,5012,721,13800,9277,124536,345374,1379506386,0.052246377,0.07771909,0.005789491,0.363188406,0.54026086,0.040245391,500542,0.338,37
24-04-2020,24530,5498,780,14669,9861,224677,373834,1379375846,0.053173359,0.079099483,0.00347165,0.374804008,0.557549944,0.024470685,541789,0.564,38
25-04-2020,26283,5939,825,15717,10566,179963,400170,1379392030,0.052490933,0.078080636,0.004584276,0.377871095,0.562085936,0.033001228,579957,0.422,39
26-04-2020,27890,6523,881,16678,11212,147912,431463,1379390597,0.05282408,0.078576525,0.005956244,0.391114042,0.581787371,0.044100546,625309,0.322,40
27-04-2020,29451,7137,939,17612,11839,162304,459415,1379346078,0.053315921,0.079314131,0.00578544,0.405235067,0.602838078,0.043973038,665819,0.332,41
28-04-2020,31324,7747,1008,18732,12592,172485,494546,1379298283,0.053811659,0.080050826,0.005843986,0.413570361,0.615231893,0.04491405,716733,0.328,42
29-04-2020,33062,8437,1079,19771,13291,185284,531827,1379245775,0.054574882,0.081182755,0.005823493,0.426736129,0.63479046,0.045535502,770764,0.328,43
30-04-2020,34863,9068,1154,20848,14015,222419,572839,1379165196,0.055353031,0.08234035,0.005188406,0.43495779,0.647021049,0.040769898,830201,0.366,44
01-05-2020,37257,10007,1223,22280,14977,221790,622831,1379112500,0.05489228,0.081658543,0.005514225,0.449147217,0.668157842,0.045119257,902654,0.336,45
